oaCode,totalPopulation,totalHouseholds,personsPerHousehold
11240650010701,601,204,2.9
11240650010702,834,288,2.9
11240650010801,462,215,2.1
11240650010802,497,228,2.2
11240650010803,420,222,1.9
11240650010804,443,146,3
11240650010901,543,206,2.6
11240650010902,588,215,2.7
11240650010903,369,157,2.4
11240650010904,404,148,2.7
11240650010905,504,171,2.9
11240650011101,354,129,2.7
11240650011102,348,135,2.6
11240650011301,440,154,2.9
11240650011401,442,172,2.6
11240650011402,397,152,2.6
11240650012501,726,397,1.8
11240650020001,398,201,2
11240650020002,534,237,2.3
11240650020003,422,202,2.1
11240650020004,450,189,2.4
11240650020005,579,301,1.9
11240650020006,432,183,2.4
11240650020101,725,252,2.9
11240650020201,449,161,2.8
11240660010101,626,201,3.1
11240660010201,496,180,2.8
11240660010202,553,259,2.1
11240660010203,374,128,2.9
11240660010204,497,226,2.2
11240660010205,675,222,3
11240660010206,610,279,2.2
11240660010207,512,209,2.4
11240660010208,474,164,2.9
11240660010209,625,231,2.7
11240660010210,447,203,2.2
11240660010211,440,159,2.8
11240660010212,416,140,3
11240660010213,577,263,2.2
11240660010214,410,141,2.9
11240660010215,415,132,3.1
11240660010216,441,135,3.3
11240660010217,581,220,2.6
11240660010218,481,152,3.2
11240660010219,513,205,2.5
11240660010220,540,193,2.8
11240660010221,575,198,2.9
11240660010222,692,242,2.9
11240660010223,389,127,3.1
11240660010224,419,135,3.1
11240660010225,423,135,3.1
11240660010226,517,170,3
11240660010227,403,135,3
11240660010228,638,211,3
11240660010229,430,137,3.1
11240660010230,586,210,2.8
11240660010231,543,188,2.9
11240660010232,357,112,3.2
11240660010233,358,118,3
11240660010234,450,135,3.3
11240660010235,393,133,3
11240660010236,541,199,2.7
11240660010237,539,224,2.4
11240660010238,488,179,2.7
11240660010239,344,131,2.6
11240660010240,417,138,3
11240660010241,417,140,3
11240660010242,414,134,3.1
11240660010243,655,223,2.9
11240660010244,647,219,3
11240660010245,672,222,3
11240660010246,446,137,3.3
11240660010247,413,137,3
11240660010248,410,141,2.9
11240660010249,553,216,2.6
11240660010250,416,138,3
11240660010251,549,239,2.3
11240660010252,425,137,3.1
11240670010001,471,216,2.2
11240670010002,477,268,1.8
11240670010003,318,155,2.1
11240670010004,508,216,2.4
11240670010005,415,156,2.7
11240670010006,614,359,1.7
11240670010007,429,227,1.9
11240670010008,477,251,1.9
11240670010009,483,277,1.7
11240670010010,563,230,2.4
11240670010011,333,133,2.5
11240670010012,618,264,2.3
11240670010013,495,255,1.9
11240670010014,414,197,2.1
11240670010015,375,190,2
11240670010016,0,0,0
11240670010601,543,195,2.8
11240670010602,628,240,2.6
11240670010701,568,185,3.1
11240670010702,404,133,3
11240670010703,353,114,3.1
11240670010704,818,274,3
11240670010705,663,214,3.1
11240670010706,515,158,3.3
11240670010707,485,160,3
11240670010708,823,273,3
11240670010709,518,177,2.9
11240670010710,592,187,3.2
11240670010711,554,190,2.9
11240670010801,587,207,2.8
11240670010802,423,134,3.2
11240670010803,518,177,2.9
11240670010804,605,202,3
11240670010805,563,198,2.8
11240670011401,407,153,2.7
11240670020001,461,152,3
11240670020002,435,217,2
11240670020003,532,247,2.2
11240670020004,512,228,2.2
11240670020005,426,200,2.1
11240670020006,512,248,2.1
11240670020007,510,183,2.8
11240670020008,586,251,2.3
11240670020009,598,279,2.1
11240670020010,457,215,2.1
11240670020011,527,198,2.7
11240670020101,510,164,3.1
11240670020102,396,141,2.8
11240670020103,406,142,2.9
11240670020104,525,188,2.8
11240670020201,302,94,3.2
11240670020401,533,174,3.1
